surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,2220.6999511719,1.0000000000,1799.8762207031,330.1075439453,90.7160186768,0.0000000000,0.0000000000,0.0000000000,0.1512509733
S0,F1,2222.0996093750,1.0006302779,1805.2078857422,332.7877807617,84.1040039062,0.0000000000,0.0000000000,0.0000000000,0.0987137780
S0,F2,2253.9985351562,1.0149946344,1806.5812988281,366.5797119141,80.8375167847,0.0000000000,0.0000000000,0.0000000000,0.1015693694
S0,F3,2318.0102539062,1.0438196537,1803.4920654297,436.1127929688,78.4054031372,0.0000000000,0.0000000000,0.0000000000,0.1058011502
S0,F4,2399.3090820312,1.0804292047,1807.6628417969,518.2738647461,73.3722763062,0.0000000000,0.0000000000,0.0000000000,0.1193541959
S0,F5,2451.2429199219,1.1038154518,1814.0604248047,566.0936279297,71.0889511108,0.0000000000,0.0000000000,0.0000000000,0.1238556951
S1,F0,2235.0192871094,1.0064481183,1809.7456054688,333.6930236816,91.5805053711,0.0000000000,0.0000000000,0.0000000000,0.1546878219
S1,F1,2211.2954101562,0.9957650555,1806.1247558594,320.1261291504,85.0447006226,0.0000000000,0.0000000000,0.0000000000,0.1170454472
S1,F2,2255.8452148438,1.0158262100,1812.2862548828,361.8717956543,81.6869277954,0.0000000000,0.0000000000,0.0000000000,0.1268988848
S1,F3,2285.2561035156,1.0290701823,1806.0838623047,401.2192077637,77.9531173706,0.0000000000,0.0000000000,0.0000000000,0.1320589632
S1,F4,2320.2851562500,1.0448440615,1807.6600341797,436.6614074707,75.9635543823,0.0000000000,0.0000000000,0.0000000000,0.1434719563
S1,F5,2342.6140136719,1.0548989351,1817.1617431641,450.7281494141,74.7239685059,0.0000000000,0.0000000000,0.0000000000,0.1374599338
S2,F0,2413.8247070312,1.0869657136,1831.9295654297,477.6168518066,104.2780990601,0.0000000000,0.0000000000,0.0000000000,0.0519673377
S2,F1,2217.7578125000,0.9986751300,1844.6693115234,279.2489013672,93.8397140503,0.0000000000,0.0000000000,0.0000000000,0.0195110552
S2,F2,2206.9729003906,0.9938185927,1830.0240478516,287.4897460938,89.4591445923,0.0000000000,0.0000000000,0.0000000000,0.0208721478
S2,F3,2242.0603027344,1.0096187473,1817.1088867188,341.0573120117,83.8942642212,0.0000000000,0.0000000000,0.0000000000,0.0321011357
S2,F4,2374.5466308594,1.0692784631,1818.0166015625,480.0331420898,76.4966354370,0.0000000000,0.0000000000,0.0000000000,0.0465622395
S2,F5,2454.2250976562,1.1051583517,1824.1512451172,554.5305786133,75.5434646606,0.0000000000,0.0000000000,0.0000000000,0.0519510880
S3,F0,2482.4670410156,1.1178759380,1865.3729248047,505.2640686035,111.8301239014,0.0000000000,0.0000000000,0.0000000000,0.0320507064
S3,F1,2288.6389160156,1.0305934914,1867.9625244141,323.3017883301,97.3747711182,0.0000000000,0.0000000000,0.0000000000,0.0179497078
S3,F2,2231.1528320312,1.0047070208,1850.0911865234,289.0177307129,92.0439376831,0.0000000000,0.0000000000,0.0000000000,0.0155389486
S3,F3,2208.5871582031,0.9945455067,1830.1741943359,290.9418640137,87.4712295532,0.0000000000,0.0000000000,0.0000000000,0.0240223743
S3,F4,2293.2558593750,1.0326725401,1812.7689208984,394.5111999512,85.9756851196,0.0000000000,0.0000000000,0.0000000000,0.0335037783
S3,F5,2396.1381835938,1.0790013222,1818.4168701172,495.4919128418,82.2293319702,0.0000000000,0.0000000000,0.0000000000,0.0400166288
S4,F0,2604.3090820312,1.1727424413,1938.3240966797,552.8336791992,113.1514129639,0.0000000000,0.0000000000,0.0000000000,0.0475816317
S4,F1,2324.0568847656,1.0465425028,1889.1756591797,337.2176818848,97.6636047363,0.0000000000,0.0000000000,0.0000000000,0.0189245697
S4,F2,2269.9409179688,1.0221736245,1871.9937744141,304.7251586914,93.2218856812,0.0000000000,0.0000000000,0.0000000000,0.0117396470
S4,F3,2232.9416503906,1.0055125409,1850.9344482422,292.4143981934,89.5931015015,0.0000000000,0.0000000000,0.0000000000,0.0144658079
S4,F4,2212.0234375000,0.9960928924,1826.9591064453,296.4931945801,88.5709762573,0.0000000000,0.0000000000,0.0000000000,0.0196986161
S4,F5,2233.5991210938,1.0058086055,1820.5203857422,319.9477844238,93.1308822632,0.0000000000,0.0000000000,0.0000000000,0.0227848515
S5,F0,2770.1455078125,1.2474199886,2048.6591796875,608.3590698242,113.1271743774,0.0000000000,0.0000000000,0.0000000000,0.0778574124
S5,F1,2384.8815917969,1.0739323836,1921.6131591797,361.2442321777,102.0243148804,0.0000000000,0.0000000000,0.0000000000,0.0307502933
S5,F2,2309.5561523438,1.0400127001,1887.6916503906,326.8880615234,94.9762954712,0.0000000000,0.0000000000,0.0000000000,0.0153191704
S5,F3,2272.1564941406,1.0231713172,1863.6929931641,314.4499206543,94.0137557983,0.0000000000,0.0000000000,0.0000000000,0.0115489597
S5,F4,2226.2124023438,1.0024823035,1840.2438964844,294.9450378418,91.0236587524,0.0000000000,0.0000000000,0.0000000000,0.0128389429
S5,F5,2215.3610839844,0.9975958629,1827.4791259766,298.8143920898,89.0675506592,0.0000000000,0.0000000000,0.0000000000,0.0154750962
