surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,2203.1333007812,1.0000000000,1796.3751220703,316.5502319336,90.2080154419,0.0000000000,0.0000000000,0.0000000000,0.1508495957
S0,F1,2218.5466308594,1.0069960951,1794.2244873047,339.6916503906,84.6305389404,0.0000000000,0.0000000000,0.0000000000,0.1445393562
S0,F2,2243.9062500000,1.0185068008,1793.7646484375,369.2326354980,80.9090499878,0.0000000000,0.0000000000,0.0000000000,0.1383806765
S0,F3,2371.3232421875,1.0763412461,1803.5104980469,492.0191345215,75.7934722900,0.0000000000,0.0000000000,0.0000000000,0.1317114234
S0,F4,2440.9438476562,1.1079419692,1807.6109619141,562.2478027344,71.0852355957,0.0000000000,0.0000000000,0.0000000000,0.1241344512
S0,F5,2539.9472656250,1.1528795215,1816.5949707031,656.6256103516,66.7266998291,0.0000000000,0.0000000000,0.0000000000,0.1132250801
S1,F0,2226.1933593750,1.0104669375,1815.5981445312,319.5973205566,90.9980545044,0.0000000000,0.0000000000,0.0000000000,0.1383718103
S1,F1,2206.1784667969,1.0013821978,1793.8334960938,326.5984802246,85.7463684082,0.0000000000,0.0000000000,0.0000000000,0.1506199092
S1,F2,2225.2424316406,1.0100353124,1795.2475585938,347.6246643066,82.3703536987,0.0000000000,0.0000000000,0.0000000000,0.1451462060
S1,F3,2273.7470703125,1.0320515193,1796.2457275391,398.6058654785,78.8953399658,0.0000000000,0.0000000000,0.0000000000,0.1442732066
S1,F4,2318.6135253906,1.0524163584,1796.7835693359,447.9637145996,73.8661422729,0.0000000000,0.0000000000,0.0000000000,0.1394483298
S1,F5,2382.0510253906,1.0812105761,1801.1472167969,511.5291137695,69.3748168945,0.0000000000,0.0000000000,0.0000000000,0.1325526237
S2,F0,2254.9658203125,1.0235267287,1831.8499755859,321.4034729004,101.7123870850,0.0000000000,0.0000000000,0.0000000000,0.1245044693
S2,F1,2212.2822265625,1.0041526883,1799.9871826172,320.2165527344,92.0784072876,0.0000000000,0.0000000000,0.0000000000,0.1253821403
S2,F2,2206.6523437500,1.0015972901,1798.7332763672,318.5609130859,89.3584442139,0.0000000000,0.0000000000,0.0000000000,0.1223490089
S2,F3,2221.4089355469,1.0082952923,1801.4074707031,335.0624694824,84.9388732910,0.0000000000,0.0000000000,0.0000000000,0.1219859347
S2,F4,2237.4030761719,1.0155550167,1800.6931152344,355.2271423340,81.4826431274,0.0000000000,0.0000000000,0.0000000000,0.1205265075
S2,F5,2276.9338378906,1.0334979899,1802.7384033203,395.2930908203,78.9023284912,0.0000000000,0.0000000000,0.0000000000,0.1177924275
S3,F0,2310.6645507812,1.0488083267,1854.5361328125,350.2160034180,105.9123077393,0.0000000000,0.0000000000,0.0000000000,0.1323435605
S3,F1,2227.4221191406,1.0110246703,1807.5285644531,325.0628356934,94.8307266235,0.0000000000,0.0000000000,0.0000000000,0.1069551036
S3,F2,2214.9548339844,1.0053657821,1805.3645019531,318.6511230469,90.9391174316,0.0000000000,0.0000000000,0.0000000000,0.1041878313
S3,F3,2200.8461914062,0.9989618833,1802.1223144531,312.9087219238,85.8152236938,0.0000000000,0.0000000000,0.0000000000,0.1042551175
S3,F4,2209.1994628906,1.0027534249,1799.1756591797,326.7347412109,83.2891921997,0.0000000000,0.0000000000,0.0000000000,0.1015182287
S3,F5,2231.3491210938,1.0128071326,1798.5649414062,351.7644348145,81.0197219849,0.0000000000,0.0000000000,0.0000000000,0.0992089808
S4,F0,2283.9487304688,1.0366820426,1830.5648193359,349.3362426758,104.0476303101,0.0000000000,0.0000000000,0.0000000000,0.1030079573
S4,F1,2233.9489746094,1.0139872035,1813.4205322266,322.7573852539,97.7711639404,0.0000000000,0.0000000000,0.0000000000,0.1045670360
S4,F2,2224.4812011719,1.0096897906,1814.5606689453,317.2330322266,92.6874618530,0.0000000000,0.0000000000,0.0000000000,0.0990561172
S4,F3,2203.3000488281,1.0000756868,1810.4274902344,306.0190429688,86.8537445068,0.0000000000,0.0000000000,0.0000000000,0.0972741693
S4,F4,2199.3530273438,0.9982841377,1805.6829833984,309.9325866699,83.7375640869,0.0000000000,0.0000000000,0.0000000000,0.0953145996
S4,F5,2208.4113769531,1.0023957135,1803.1524658203,324.3559570312,80.9027633667,0.0000000000,0.0000000000,0.0000000000,0.0924839675
S5,F0,2337.2084960938,1.0608565969,1849.2052001953,378.2358703613,109.7674560547,0.0000000000,0.0000000000,0.0000000000,0.0960413888
S5,F1,2264.7866210938,1.0279843804,1828.4124755859,331.6518249512,104.7221603394,0.0000000000,0.0000000000,0.0000000000,0.0931130052
S5,F2,2249.7890625000,1.0211770035,1831.9890136719,318.7717285156,99.0281600952,0.0000000000,0.0000000000,0.0000000000,0.0804221183
S5,F3,2226.2949218750,1.0105130366,1827.2058105469,308.6358947754,90.4534225464,0.0000000000,0.0000000000,0.0000000000,0.0759103149
S5,F4,2213.6911621094,1.0047922027,1821.1949462891,305.5989379883,86.8972549438,0.0000000000,0.0000000000,0.0000000000,0.0723666027
S5,F5,2200.4440917969,0.9987793707,1812.3016357422,304.3405151367,83.8022994995,0.0000000000,0.0000000000,0.0000000000,0.0705120862
